stock,ticker
raute,RAUTE
upm,UPM
ahlstrom,AHL1V
konecranes,KCR
fortum,FORTUM
basware,BAS1V
stora-enso,STERV
huhtamaki,HUH1V
innofactor,IFA1V
revenio-group,REG1V
nokia,NOKIA
etteplan,ETTE
bittium,BITTI
metso-0,METSO
okmetic,OKM1V
cargotec,CGCBV
tecnotree,TEM1V
outokumpu,OUT1V
tietoevry,TIETO
aspo,ASPO
suominen,SUY1V
glaston,GLA1V
kesko,KESKOB
kemira,KEMIRA
metsa-board,METSB
sampo,SAMPO
nokian-renkaat,TYRES
taaleri,TAALA
amer-sports,AMEAS
neste,NESTE
stockmann,STOCKA
enedo,ENEDO
ahtium,AHTIUM
sanoma,SANOMA
kone,KNEBV
ovaro-kiinteistosijoitus,OVARO
elisa,ELISA
wartsila,WRT1V
ponsse,PON1V
capman,CAPMAN
fiskars-group,FSKRS
caverion,CAV1V
uponor,UPONOR
lemminkainen,LEM1S
valmet,VALMT
olvi,OLVAS
telia-company,TELIA1
cramo,CRA1V
orion,ORNBV
sponda,SDA1V
citycon,CTY1S
oriola,OKDBV
tikkurila,TIK1V
technopolis,TPS1V
ramirent,RAMI
apetit,APETIT
yit,YIT
biotie-therapies,BTH1V
pkc-group,PKC1V
siili-solutions,SIILI
qpr-software,QPR1V
rapala-vmc,RAP1V
verkkokauppacom,VERK
solteq,SOLTEQ
noho-partners,NOHO
nixu,NIXU
united-bankers,UNITED
aspocomp,ACG1V
administer,ADMIN
,AFE1V
,AHOLA
,AKTRV
asuntosalkku,ASUNTO
bbs,BONEH
biohit,BIOBV
,DNA
,DIGIGR
,DOV1V
,ELEAV
,EFO1VN0118
enento-group,ENENTO
,ERIBR
,FITBIO
fellow-finance,FELLOWX
,HRTIS
,ILKKA1
,KSLAV
,KESKOA
,KOJAMO
,LL1SPAC
,METSA
modulight,MODU
,NANOFH
metso,NELES
,NOKIAM0116
nordea-bank,NDA FI
,NORDID
,NORVE
,OKDAV
,ORNAV
,RAIKV
,SSABAH
,SAGCV
,STCAS
,STEAV
,TAM1V
,TRH1V
,VIK1V
,ALBAV
,ALBBV
comptel,CTL1V
panostaja,PNA1V
nexstim,NXTMH
scanfil,SCANFL
talenom,TNOM
detection-technology,DETEC
martela,MARAS
srv,SRV1V
eq,EQV1V
finnair,FIA1S
pihlajalinna,PIHLIS
avidly,AVIDLY
piippo,PIIPPO
investors-house,INVEST
hoivatilat,HOIVA
marimekko,MEKKO
teleste,TLT1V
utg-mixing-group,UUTEC
vaisala,VAIAS
sotkamo-silver,SOSI1
consti,CONSTI
vincit,VINCIT
heeros,HEEROS
kotipizza-group,PIZZA
alma-media,ALMA
reka-industrial,REKA
qt,QTCOM
ahlstrom-munksjo,AM1
fondia,FONDIA
exel-composites,EXL1V
remedy,REMEDY
next-games,NXTGMS
afarak-group,AFAGR
titanium,TITAN
eab-group,EAB
evli,EVLI
efecte,EFECTE
nurminen-logistics,NLG1V
admicom,ADMCM
kamux,KAMUX
digia,DIGIA
withsecure,WITH
gofore,GOFORE
enersense,ESENSE
kesla,KELAS
harvia,HARVIA
wulff-yhtiot,WUF1V
eagle-filters,EAGLE
lehto-group,LEHTO
endomines,PAMPALO
kh-group,KHG
poyry,POY1V
tallink,TALLINK
aktia,AKTIA
eezy,EEZY
leaddesk,LEADD
ssab-b,SSABBH
ssh,SSH1V
aallon-group,AALLON
incap,ICP1V
viafin-service,VIAFIN
cibus-nordic-real-estate,
terveystalo,TTALO
punamusta-media,PUMU
silmaasema,SILMA
rush-factory,RUSH
relais-group,RELAIS
fodelia,FODELIA
bilot,BILOT
raisio,RAIVV
boreo,BOREO
ilkka,ILKKA2
musti-group,MUSTI
oma-saastopankki,OMASP
arvo-sijoitusosuuskunta,ARVOSK
rovio,ROVIO
nightingale-health,HEALTH
orthex,ORTHEX
sitowise,SITOWS
tokmanni-group,TOKMAN
alexandria-pankkiiriliike,ALEX
netum,NETUM
toivo-group,TOIVO
solwers,SOLWERS
purmo-group,PURMO
ecoup,ECOUP
honkarakenne,HONBS
loihde,LOIHDE
robit,ROBIT
optomed,OPTOMED
puuilo,PUUILO
merus-power,MERUS
norrhydro,NORRH
kreate,KREATE
partnera,PARTNE1
duell,DUELL
fifax,FIFAX
lemonsoft,LEMON
valoe,VALOE
lapwall,LAPWALL
springvest,SPRING
tulikivi,TULAV
witted,WITTED
movinn,
agillic,
ascelia-pharma,
astralis,
digital-workforce,DWF
inderes,INDERES
lamor,LAMOR
lassila-tikanoja,LAT1V
aiforia-technologies,AIFORIA
f-secure,FSECURE
pallas-air,PALLAS
faron-pharmaceuticals,FARON
kempower,KEMPOWR
wetteri,WETTERI
bioretec,BRETEC
anora,ANORA
betolar,BETOLAR
tamtron,TAMTRON
mgi-media-and-games-invest,
alisa-pankki,ALISA
evli-pankki,ALISA
atria,ATRAV
koskisen,KOSKI
meriaura-group,MERIH
nyab,NYAB
hkscan,HKSAV
nordic-lights,NORDLIG
spinnova,SPINN
mandatum,MANTA
componenta,CTH1V
hm,
nibe-industrier,
