stock,url,created,suositus,analyytikko
nokia,china-inc-rising,2013-03-18 00:00:00,vähennä,Mikael Rautanen
tecnotree,q1-kausiluonteen-johdosta-tappiolla,2013-04-29 00:00:00,lisää,Mikael Rautanen
upm,paper-business-pain-now,2013-04-29 00:00:00,lisää,Antti Viljakainen
outokumpu,low-valuation-attracts-despite-delayed-turning-point,2013-04-29 00:00:00,lisää,Antti Viljakainen
ahlstrom,investment-case-stays-same-0,2013-04-30 00:00:00,myy,Antti Viljakainen
stora-enso,upside-after-shares-depreciation,2013-06-28 00:00:00,lisää,Antti Viljakainen
stora-enso,difficult-h2-ahead,2013-07-21 00:00:00,vähennä,Antti Viljakainen
huhtamaki,expectations-were-too-high,2013-07-21 00:00:00,vähennä,Antti Viljakainen
neste,renewables-fly-high,2013-09-11 00:00:00,vähennä,Antti Viljakainen
upm,undervaluation-corrected,2013-09-20 00:00:00,vähennä,Antti Viljakainen
metsa-board,promising-outlook-2014,2013-09-27 00:00:00,lisää,Antti Viljakainen
kemira,investment-case-stays-same,2013-10-04 00:00:00,vähennä,Antti Viljakainen
kone,attractive-story-challenging-valuation,2013-10-09 00:00:00,vähennä,Juha Kinnunen
metso-outotec,gloomy-q3-figures-scared-markets,2013-10-18 00:00:00,vähennä,Juha Kinnunen
ahlstrom,black-weak-results,2013-10-28 00:00:00,myy,Antti Viljakainen
fiskars-group,decent-performance-tough-market,2013-11-04 00:00:00,vähennä,Sauli Vilen
ovaro-kiinteistosijoitus,vakaat-nakymat-vuoteen-2014,2013-11-08 00:00:00,lisää,Jesse Kinnunen
metso-outotec,time-start-building-position,2013-12-16 00:00:00,lisää,Juha Kinnunen
oriola,toistamme-myy-suosituksen-q4-raportin-jalkeen,2014-02-11 00:00:00,myy,Petri Kajaani
capman,riskreward-ratio-remains-attractive,2014-03-26 00:00:00,osta,Sauli Vilen
revenio-group,arvostus-nyt-jarkevalla-tasolla,2014-04-25 00:00:00,vähennä,Mikael Rautanen
amer-sports,horisontissa-voimakasta-tuloskasvua,2014-04-28 00:00:00,,
tecnotree,kirea-rahoitustilanne-jatkuu,2014-04-30 00:00:00,lisää,Mikael Rautanen
raute,heikko-q1-tulos-mutta-valoa-nakymissa,2014-04-30 00:00:00,lisää,Juha Kinnunen
capman,still-waiting-exits,2014-05-09 00:00:00,osta,Sauli Vilen
ovaro-kiinteistosijoitus,paremmat-ostopaikat-edessapain,2014-05-20 00:00:00,myy,Jesse Kinnunen
neste,markkina-pysyi-yha-vaikeana,2014-08-06 00:00:00,lisää,Antti Viljakainen
glaston,upgrade-buy-due-valuation,2014-09-02 00:00:00,osta,Juha Kinnunen
fortum,tulosnakymat-ovat-haastavat,2014-09-03 00:00:00,myy,Antti Viljakainen
