stock,url,created,suositus,analyytikko
bittium,initial-report-eb-more-focused-automotive-after-test-tools-deal,2013-03-28 00:00:00,accumulate,Juha Kinnunen
revenio-group,erikoisraportti-2013-icare-finland,2013-04-01 00:00:00,,"Sauli Vilén,Mikael Rautanen"
innofactor,innofactor-vuosipaivitys-2013-kasvustrategian-toteutus-jatkuu,2013-05-23 00:00:00,vähennä,Mikael Rautanen
outokumpu,risk-profile-too-high,2013-05-24 00:00:00,reduce,Antti Viljakainen
suominen,initiating-coverage,2013-06-20 13:09:00,reduce,Sauli Vilén
glaston,initial-report-growth-through-glass-processing,2013-07-17 00:00:00,reduce,Juha Kinnunen
enedo,efore-sijoitustutkimus-2013,2013-09-30 00:00:00,,"Sauli Vilén,Mikael Rautanen"
capman,initiating-coverage-1,2013-10-28 00:00:00,buy,Sauli Vilén
metsa-board,osake-houkuttelee-yha,2014-02-07 00:00:00,lisää,Antti Viljakainen
upm,kurssilasku-purki-yliarvostusta,2014-03-25 00:00:00,vähennä,Antti Viljakainen
biotie-therapies,initial-report-favorable-risk-return-profile,2014-04-24 00:00:00,buy,Juha Kinnunen
amer-sports,horisontissa-voimakasta-tuloskasvua,2014-04-28 00:00:00,,
suominen,rebuilding-ending-new-direction-sight-0,2014-05-27 00:00:00,accumulate,"Antti Viljakainen,Sauli Vilén"
suominen,rebuilding-ending-new-direction-sight,2014-05-27 13:35:00,accumulate,"Antti Viljakainen,Sauli Vilén"
biotie-therapies,seurannan-aloitus-suotuisa-riski-tuottosuhde,2014-05-28 00:00:00,osta,Juha Kinnunen
orion,nostamme-tavoitehintaa-bayersopimuksen-johdosta,2014-06-03 00:00:00,myy,Petri Kajaani
fiskars-group,tuloksellisesti-vuosi-2014-jaa-valivuodeksi,2014-06-04 00:00:00,vähennä,Sauli Vilen
etteplan,investment-case-update-ready-next-level,2014-06-06 00:00:00,accumulate,Juha Kinnunen
telia-company,heikot-kasvunakymat,2014-07-21 00:00:00,vähennä,Petri Aho
raute,tuottopotentiaali-houkuttelee-markkinatilanteen-epavarmuudesta-huolimatta,2014-08-08 00:00:00,lisää,"Antti Viljakainen,Juha Kinnunen"
glaston,upgrade-buy-due-valuation,2014-09-02 00:00:00,buy,
fortum,tulosnakymat-ovat-haastavat,2014-09-03 00:00:00,myy,
ahtium,aika-kay-vahiin,2014-09-05 00:00:00,myy,
valmet,nousupotentiaali-ohentunut,2014-09-09 00:00:00,lisää,
kemira,cmd-paivitys,2014-09-10 00:00:00,vähennä,
nixu,nixu-sijoitustutkimus,2014-11-18 00:00:00,,Mikael Rautanen
revenio-group,icare-erikoisraportti-2014,2014-12-16 08:27:00,,Mikael Rautanen
,salkkukatsaus-2014-inderes-8-omxhcap-10,2015-01-12 00:00:00,,Juha Kinnunen
,osto-restamax-ja-etteplan,2015-01-26 00:00:00,,Sauli Vilén
,salkun-arvo-tuplattu-100-000-euron-rajapyykki-rikkoutui,2015-02-03 00:00:00,,Sauli Vilén
revenio-group,home-tuotteella-lupaava-startti,2015-02-13 10:33:00,lisää,Mikael Rautanen
huhtamaki,toistamme-suosituksemme,2015-02-16 07:24:00,lisää,Antti Viljakainen
apetit,jaamme-odottamaan-merkkeja-ruokaliiketoiminnan-kaanteesta,2015-03-05 00:00:00,vähennä,Petri Kajaani
,vuodesta-2015-muodostumassa-pienten-porssiyhtioiden-vuosi,2015-03-13 00:00:00,,Sauli Vilén
cramo,aika-vetaa-henkea-pikaisen-kurssinousun-jalkeen,2015-04-09 00:00:00,vähennä,Petri Kajaani
nokian-renkaat,myymme-omistuksemme-nokian-renkaissa-ja-kevennamme-hieman-osakepainoamme,2015-04-21 00:00:00,,Sauli Vilén
amer-sports,markkinaennusteet-ylittyivat-jalleen,2015-04-24 12:10:00,lisää,Petri Kajaani
cramo,markkinatilanteessa-nahtavissa-paranemisen-merkkeja,2015-05-06 18:09:00,vähennä,Petri Kajaani
,nokiat-ulos-comptelia-sisaan,2015-05-20 00:00:00,,Sauli Vilén
talenom,talenom-sijoitustutkimus,2015-05-20 08:16:00,,Jari Honko
suominen,profit-growth-sight,2015-06-18 09:01:00,buy,Antti Viljakainen
fortum,ostamme-edullista-fortumia-experttisalkkuumme,2015-07-27 00:00:00,,Sauli Vilén
fortum,kasvatimme-positiotamme-fortumissa,2015-08-26 00:00:00,,Sauli Vilén
bittium,ostamme-salkkuumme-bittiumia-jonka-markkina-arvo-tippunut-alle-yhtion-nettokassan,2015-09-02 00:00:00,,Juha Kinnunen
basware,kotiutimme-voittoja-baswaresta,2015-09-14 00:00:00,,Mikael Rautanen
,levollisin-mielin-loppuvuoteen,2015-10-06 00:00:00,,
bittium,bittiumin-arbitraasi-purkautui-voimakkaalla-kurssinousulla,2015-11-13 00:00:00,,Juha Kinnunen
revenio-group,kevesimme-painoa-reveniossa,2015-11-25 00:00:00,,Mikael Rautanen
bittium,myimme-bittiumin-osakkeet-hinnoitteluvirheen-korjauduttua,2015-12-18 00:00:00,,Juha Kinnunen
,salkkukatsaus-2015-inderes-51-omxhcap-16,2016-01-07 00:00:00,,Sauli Vilén
martela,martela-kuluvan-vuoden-musta-hevonen,2016-01-16 00:00:00,,Sauli Vilén
,karsivallisyys-tescon-kanssa-loppui,2016-01-25 00:00:00,,Sauli Vilén
,fortumin-sijoittajatarina-horjuu-emme-ole-valmiita-kasvattamaan-positiotamme-yhtiossa,2016-02-15 00:00:00,,Sauli Vilén
,revenion-tarina-kasikirjoitettu-disneylla,2016-03-18 00:00:00,,Mikael Rautanen
,kotiutamme-voitot-pandorassa-hinnoittelu-muuttunut-kriisiyhtiosta-kaikkien-suosikiksi,2016-03-30 00:00:00,,Sauli Vilén
okmetic,hold-shares-and-accept-offer,2016-04-04 08:58:00,-,Mikael Rautanen
,pidamme-okmeticit-viela-salkussamme-ja-tulemme-hyvaksymaan-ostotarjouksen,2016-04-07 16:45:00,,
,osto-comptel,2016-04-18 15:15:00,,
okmetic,q1-confirms-lucrative-timing-offer,2016-04-22 09:05:00,-,Mikael Rautanen
,hyvaksyimme-okmeticin-ostotarjouksen,2016-05-03 11:32:00,,
etteplan,osallistumme-etteplan-merkintaoikeusantiin,2016-05-20 07:42:00,,
,salkkuyhtioidemme-tuloskausi,2016-05-25 11:01:00,,
cargotec,myimme-cargotecin-mallisalkusta,2016-05-27 11:13:00,,
,mallisalkku-5-vuotta-180,2016-06-06 16:15:00,,
noho-partners,kasvatamme-restamaxin-painoa-salkussamme,2016-06-13 16:52:00,,
srv,aika-tehda-tulosta,2016-06-14 21:56:00,lisää,Petri Aho
,pidamme-comptelista-kiinni-kurssirallista-huolimatta,2016-07-26 14:26:00,,
verkkokauppacom,verkkokauppacom-uutena-yhtiona-mallisalkkuun,2016-08-16 15:34:00,,
consti,consti-yhtiot-seurannan-aloitus-korjaustrendin-aallonharjalla,2016-09-13 08:04:00,lisää,Petri Aho
sotkamo-silver,otamme-position-sotkamo-silverissa,2016-09-15 11:52:00,,
vincit,vincit-sijoitustutkimus,2016-09-26 08:09:00,,"Joni Grönqvist,Mikael Rautanen"
etteplan,iot-kasvattaa-potentiaalia,2016-09-27 09:05:00,lisää,Juha Kinnunen
aspo,kahden-kerroksen-vakea,2016-09-28 07:48:00,lisää,
fortum,vaihdoimme-fortumit-kateiseen,2016-10-05 18:24:00,,
basware,loputkin-baswaret-ulos-salkusta,2016-10-14 11:49:00,,
heeros,heeros-sijoitustutkimus,2016-10-18 14:14:00,,"Joni Grönqvist,Mikael Rautanen"
capman,moving-right-direction-0,2016-10-21 18:39:00,buy,Sauli Vilén
innofactor,alihinnoiteltua-innofactoria-mallisalkkuun,2016-11-03 17:04:00,,
ovaro-kiinteistosijoitus,tuotto-odotus-heikentynyt,2016-11-14 08:24:00,lisää,"Jesse Kinnunen,Petri Aho"
,ostamme-suomen-hoivatiloja-mallisalkkuun,2016-11-23 17:56:00,,
kotipizza-group,seurannan-aloitus-matalariskinen-osinkoyhtio,2016-11-29 08:13:00,lisää,Petri Kajaani
neste,uusiutuvien-arvo-jaa-liian-korkeaksi,2016-12-02 09:06:00,myy,"Antti Viljakainen,Petri Gostowski"
glaston,investointilama-tulee-hellittamaan,2016-12-14 20:02:00,vähennä,Juha Kinnunen
avidly,vahvan-kasvun-aihiot-kasassa,2016-12-15 08:02:00,lisää,Petri Aho
martela,potentiaali-alkaa-realisoitua,2016-12-21 07:56:00,osta,Jesse Kinnunen
,mallisalkullamme-jalleen-erinomainen-vuosi,2017-01-05 08:29:00,,
siili-solutions,kevensimme-painoa-siilissa,2017-01-09 16:48:00,,
pkc-group,pidamme-vapaaehtoisen-ostotarjouksen-lapimenoa-erittain-todennakoisena,2017-01-20 08:22:00,-,Petri Kajaani
pihlajalinna,yksi-sote-murroksen-voittajista,2017-02-09 08:35:00,osta,Petri Kajaani
,odottelemme-comptelin-tarjousprosessin-etenemista-osakkeenomistajina,2017-02-09 18:33:00,,
comptel,odottele-maltilla-tarjousprosessia,2017-02-10 10:02:00,pidä,Mikael Rautanen
bittium,tuotestrategiaan-lisaa-vauhtia,2017-02-21 08:07:00,lisää,Juha Kinnunen
alma-media,seurannan-aloitus-digiliiketoiminta-paaosassa,2017-02-22 09:04:00,vähennä,Petri Aho
uponor,paatamme-yhtion-seurannan,2017-02-24 09:18:00,-,Petri Aho
nixu,etumatkalla-kasvumarkkinoilla,2017-03-09 08:57:00,vähennä,Mikael Rautanen
reka-industrial,tuloksenteon-aika-0,2017-03-09 09:00:00,lisää,Petri Gostowski
etteplan,kevensimme-omistustamme-etteplanissa,2017-03-09 13:40:00,,
investors-house,asuntosijoitus-ja-palveluyhtio,2017-03-13 08:51:00,lisää,Jesse Kinnunen
qt,myyntikanavaa-vaille-valmis,2017-03-14 08:26:00,lisää,"Joni Grönqvist,Mikael Rautanen"
ahlstrom-munksjo,fuusiopotentiaalia-jo-hinnassa,2017-03-15 08:33:00,vähennä,Antti Viljakainen
fondia,fondia-sijoitustutkimus-juridiikkaa-jatkuvana-palveluna,2017-03-16 10:44:00,,Jesse Kinnunen
exel-composites,kaanteen-merkkeja-ilmassa,2017-03-20 07:38:00,lisää,Antti Viljakainen
soprano,takaisin-tuloskasvu-uralle,2017-03-20 08:40:00,lisää,Petri Aho
noho-partners,vahva-tuloskasvu-jatkuu-1,2017-03-23 08:56:00,lisää,Sauli Vilén
nokia,hyvaksyimme-comptelin-ostotarjouksen,2017-03-23 15:12:00,,
fondia,seurannan-aloitus-11,2017-04-04 21:51:00,myy,Jesse Kinnunen
piippo,kasvua-kohtuullisella-arvostuksella,2017-04-11 08:15:00,lisää,Petri Gostowski
finnair,oikea-suunta-jo-hinnassa,2017-04-13 07:22:00,vähennä,Antti Viljakainen
,mallisalkkumme-300-aloituksesta,2017-04-24 15:12:00,,
united-bankers,potentiaalin-realisoitumista-saadaan-viela-odottaa,2017-05-03 08:57:00,vähennä,Sauli Vilén
apetit,odotamme-merkkeja-kannattavuuskaanteesta-0,2017-05-09 07:47:00,vähennä,Petri Kajaani
remedy,peliyhtio-pitkaan-salkkuun,2017-05-11 11:47:00,,Mikael Rautanen
,ostimme-alihinnoiteltua-affectoa-mallisalkkkuun,2017-05-12 13:55:00,,
tecnotree,tasekriisi-hautaa-potentiaalin,2017-05-15 08:00:00,myy,Mikael Rautanen
detection-technology,kasvutarina-jatkuu-lahivuosina,2017-05-30 21:39:00,lisää,Juha Kinnunen
sponda,pidamme-tarjouksen-lapimenoa-hyvin-todennakoisena,2017-06-05 16:37:00,-,Jesse Kinnunen
,kasvatamme-omistustamme-taalerissa,2017-06-06 15:34:00,,"Juha Kinnunen,Mikael Rautanen"
srv,kasvu-ja-suurhankkeiden-tuotot-nostavat-asteittain-tulostasoa,2017-06-07 07:54:00,lisää,Petri Aho
talenom,vahvassa-vedossa-paalistalle-0,2017-06-11 14:30:00,osta,Juha Kinnunen
siili-solutions,arvonluonti-jatkuu,2017-06-12 08:43:00,lisää,Mikael Rautanen
next-games,seurannan-aloitus-kasvun-avaimet-kadessa,2017-06-13 07:37:00,lisää,Sauli Vilén
revenio-group,aika-katsoa-pidemmalle-tulevaisuuteen,2017-06-19 08:20:00,vähennä,Mikael Rautanen
innofactor,houkuttelevat-arvoajurit,2017-06-20 08:21:00,lisää,"Joni Grönqvist,Mikael Rautanen"
ponsse,tuloskasvun-jatkolle-hyvat-evaat-0,2017-06-21 11:43:00,lisää,Erkki Vesola
suominen,company-aims-speed,2017-06-21 22:21:00,reduce,Antti Viljakainen
technopolis,arvo-alkaa-realisoitua,2017-06-30 08:46:00,osta,Jesse Kinnunen
afarak-group,focus-growth,2017-07-12 23:19:00,sell,Petri Gostowski
ovaro-kiinteistosijoitus,tuotto-odotus-edelleen-heikko,2017-07-17 06:52:00,vähennä,Jesse Kinnunen
cargotec,kalmar-pettymys-ei-muuta-nakemystamme,2017-07-21 08:45:00,lisää,Erkki Vesola
,ostotarjous-affectosta-ei-ole-kovin-avokatinen-mutta-kelpaa-paremman-puutteessa,2017-08-23 08:38:00,,
talenom,avasimme-position-talenomissa,2017-08-28 12:07:00,,
titanium,titanium-sijoitustutkimus-voimakkaasti-kasvava-omaisuudenhoitaja,2017-09-21 08:15:00,,Sauli Vilén
vaisala,useita-positiivisia-ajureita,2017-09-25 07:33:00,lisää,Joni Grönqvist
afarak-group,we-do-not-take-stance-dispute,2017-09-25 15:25:00,-,Petri Gostowski
,hyvaksyimme-affecton-ostotarjouksen,2017-09-26 08:49:00,,
marimekko,kilpailukyvyn-nosto-avainasemassa-tulosnakymien-kannalta,2017-10-02 07:49:00,lisää,Petri Kajaani
raute,nakyma-edelleen-suotuisa,2017-10-04 07:24:00,lisää,Antti Viljakainen
titanium,kurssinousu-korjasi-valuaation-neutraaliksi,2017-10-10 08:43:00,vähennä,Sauli Vilén
eab-group,elite-seurannan-aloitus,2017-10-10 23:58:00,lisää,Juha Kinnunen
evli,evli-seurannan-aloitus-yksinkertaisesti-aliarvostettu,2017-10-13 08:28:00,osta,Sauli Vilén
verkkokauppacom,verkkokauppacom-vahvat-kasvunakymat-lahivuosille,2017-10-28 10:54:00,lisää,Sauli Vilén
nokia,palaamme-nokian-omistajiksi,2017-10-31 15:30:00,,
aspocomp,mielenkiintoinen-vuosi-edessa,2017-11-06 07:53:00,lisää,Juha Kinnunen
scanfil,maltillisesti-arvostettu-kasvuyhtio,2017-11-14 07:19:00,lisää,Antti Viljakainen
afarak-group,positive-volume-development-raw-material-prices-hurt-profitability,2017-11-20 09:38:00,-,Petri Gostowski
teleste,edessa-merkittavia-strategisia-valintoja,2017-11-22 07:45:00,lisää,"Atte Riikola,Mikael Rautanen"
efecte,efecte-vahvaa-kasvua-ja-skaalautuvuutta,2017-11-24 10:37:00,,"Mikael Rautanen,Petri Aho"
martela,takaisin-raiteille,2017-11-27 08:06:00,lisää,Jesse Kinnunen
martela,martela-back-track,2017-11-27 16:26:00,accumulate,Jesse Kinnunen
efecte,seurannan-aloitus-vahvaa-kasvua-ja-skaalautuvuutta,2017-12-11 08:04:00,osta,"Mikael Rautanen,Petri Aho"
capman,all-eyes-management-business,2017-12-20 08:43:00,accumulate,Sauli Vilén
vincit,sektorin-parhaimmistoa,2017-12-21 08:21:00,lisää,"Joni Grönqvist,Mikael Rautanen"
avidly,kannattavan-kasvun-uralla,2017-12-27 00:08:00,osta,Petri Aho
,mallisalkkukatsaus-2017-kaksijakoinen-vuosi,2017-12-27 23:43:00,,
nurminen-logistics,tuloskaanne-jo-hinnassa,2018-01-09 08:36:00,vähennä,Petri Gostowski
soprano,paatamme-sopranon-seurannan,2018-01-19 08:11:00,-,Petri Aho
eq,heikkouksia-vaikea-loytaa-0,2018-01-24 08:50:00,lisää,Sauli Vilén
admicom,admicom-saas-trendin-edellakavija,2018-01-25 11:19:00,,Mikael Rautanen
kamux,seurannan-aloitus-autokaupan-tehokas-uudistaja,2018-01-29 22:35:00,lisää,Petri Kajaani
admicom,seurannan-aloitus-saas-trendin-edellakavija,2018-02-12 07:47:00,lisää,Mikael Rautanen
afarak-group,operative-profitability-still-under-pressure,2018-02-26 09:53:00,-,Petri Gostowski
digia,rakennuspalikat-kasassa,2018-03-02 08:35:00,lisää,"Joni Grönqvist,Mikael Rautanen"
sotkamo-silver,vetaydymme-sotkamo-silverista,2018-03-07 13:35:00,,
panostaja,edessa-merkittavia-paatoksia,2018-03-08 08:54:00,lisää,Juha Kinnunen
tecnotree,ostotarjous-hyva-paatos-vaikealle-taipaleelle,2018-03-08 18:44:00,-,Mikael Rautanen
withsecure,uusi-strategia-kiihdytysvaiheessa,2018-03-09 07:55:00,lisää,"Atte Riikola,Mikael Rautanen"
ovaro-kiinteistosijoitus,ostamme-orava-asuntorahastoa-mallisalkkuun,2018-03-12 15:46:00,,
sanoma,fokusoituminen-tuottaa-tulosta,2018-03-15 08:09:00,lisää,Petri Aho
efecte,ostamme-saas-yhtio-efectea-mallisalkkuun,2018-03-16 14:21:00,,
aspo,kahden-kerroksen-vakea-0,2018-03-20 07:34:00,lisää,Olli Vilppo
exel-composites,kasvupolku-nayttaa-loytyneen,2018-03-21 07:23:00,lisää,Antti Viljakainen
gofore,kiihtyva-muutos-kasvuajurina,2018-03-23 07:33:00,vähennä,"Joni Grönqvist,Mikael Rautanen"
enersense,enersense-sijoitustutkimus-voimakkaasti-kasvava-resurssienhallinnan-asiantuntija,2018-03-28 08:55:00,,"Petri Gostowski,Sauli Vilén"
alma-media,positiivinen-tulostrendi-jatkuu,2018-03-29 08:26:00,lisää,Petri Aho
investors-house,kiinteistoyhtiosta-sijoitusyhtioksi,2018-04-19 08:54:00,lisää,Jesse Kinnunen
tecnotree,suosittelemme-hyvaksymaan-ostotarjouksen,2018-04-19 18:34:00,-,Mikael Rautanen
enersense,voimakkaasti-kasvava-resurssienhallinnan-asiantuntija,2018-04-25 08:37:00,osta,"Petri Gostowski,Sauli Vilén"
sanoma,kurssilasku-avaa-houkuttelevan-ostopaikan-osakkeeseen,2018-04-30 08:47:00,osta,Petri Aho
hoivatilat,vahva-kasvu-jatkuu-0,2018-05-04 09:02:00,lisää,Jesse Kinnunen
revenio-group,kevensimme-revenion-ylisuurta-painoa-yhtio-jatkaa-suurimpana-omistuksena,2018-05-04 13:26:00,,
afarak-group,q118-profitability-be-red,2018-05-07 09:19:00,-,Petri Gostowski
