stock,url,created,suositus,analyytikko
stora-enso,well-line-expectations,2013-04-25 00:00:00,accumulate,Antti Viljakainen
outokumpu,reduced-target-price-due-risks,2013-06-10 00:00:00,reduce,Antti Viljakainen
suominen,initiating-coverage,2013-06-20 13:09:00,,Sauli Vilén
suominen,moving-right-direction,2013-07-17 13:12:00,reduce,Sauli Vilen
suominen,cash-flow-case-patient-investor,2013-09-02 13:15:00,accumulate,Sauli Vilen
metsa-board,promising-outlook-2014,2013-09-27 00:00:00,accumulate,
suominen,no-change-big-picture,2013-10-24 13:17:00,accumulate,Sauli Vilen
suominen,project-regain-dividend-paying-ability,2013-10-24 13:19:00,accumulate,Sauli Vilen
outokumpu,ship-doesnt-turn-2013,2013-11-04 00:00:00,sell,Antti Viljakainen
suominen,strong-finish-year,2014-01-31 12:22:00,accumulate,"Antti Viljakainen,Sauli Vilen"
taaleri,tuloskasvu-alkaa-kiihtya,2014-03-03 00:00:00,lisää,Sauli Vilen
upm,cmd-paivitys-2,2014-03-12 00:00:00,myy,Antti Viljakainen
aspo,venajan-kriisi-nostaa-riskipreemioita,2014-03-19 00:00:00,lisää,Sauli Vilen
upm,kurssilasku-purki-yliarvostusta,2014-03-25 00:00:00,,Antti Viljakainen
tietoevry,kasvava-osinko-houkuttelee-edelleen,2014-05-02 00:00:00,lisää,Mikael Rautanen
suominen,long-steps-right-way-q1,2014-05-02 13:24:00,accumulate,Antti Viljakainen
aspo,ohjeistuksen-nostoa-odotellessa,2014-05-05 00:00:00,lisää,Sauli Vilen
suominen,rebuilding-ending-new-direction-sight,2014-05-27 13:35:00,,"Antti Viljakainen,Sauli Vilén"
ahlstrom,odotukset-eivat-oikeuta-arvostusta,2014-07-08 00:00:00,myy,Antti Viljakainen
oriola,oriola-kd-laskee-kuluvan-vuoden-liikevaihto-ohjeistusta,2014-07-17 13:53:00,lisää,Petri Kajaani
suominen,still-uphill-track,2014-07-21 13:42:00,buy,Antti Viljakainen
,hc-andersen-capital-software-service-report-may-2022,2022-05-25 20:43:00,,
,greentech-sector-report,2022-09-06 13:00:00,,
,robotics-sector-report-deglobalization-and-nearshoring-could-support-high-growth,2022-10-28 16:50:00,,
,tuloskausiyhteenveto-tulostaantuma-kolkuttelee,2023-09-15 08:24:00,,Juha Kinnunen
,tuloskausiyhteenveto-ei-pelkkaa-pahaa,2023-11-15 08:54:00,,Juha Kinnunen
